tripleColonOperaor U02AF6
tripleSolidusBinaryRelation U02AFB
doubleSolidusOperator U02AFD
whiteVerticalBar U02AFE
numberSign U00023
dollarSign U00024
percentSign U00025
ampersand U00026
period U0002E
solidus U0002F
questionMark U0003F
commericalAt U00040
reverseSolidus U0005C
poundSign U000A3
yenSign U000A5
sectionSymbol U000A7
lnotNotSign U000AC
paragraphSymbol U000B6
impedance U001B5
greekReversedLunateEpsilonSymbol U003F6
horizontalBar U02015
doubleLowLine U02017
doubleBaselineDot U02025
ellipsis U02026
prime U02032
doublePrime U02033
triplePrime U02034
reversePrime U02035
doubleReversePrime U02036
tripleReversePrime U02037
caret U02038
doubleExclamationMark U0203C
rectangle U02043
doubleQuestionMark U02047
quadruplePrime U02057
euroSign U020AC
combiningEnclosingCircle U020DD
combiningEnclosingSquare U020DE
combiningEnclosingDiamond U020DF
combiningEnclosingUpwardPointingTriangle U020E4
eulerConstant U02107
planckConstant U0210E
conductance U02127
turnedCapitalF U02132
doubleStruckSmallPi U0213C
turnedSansSerifCapitalG U02141
turnedSansSerifCapitalI U02142
reverseSansSerifCapitalI U02143
turnedSansSerifCapitalY U02144
doubleStruckItalicCapitalD U02145
doubleStruckItalicSmallD U02146
doubleStruckItalicSmallE U02147
doubleStruckItalicSmallI U02148
doubleStruckItalicSmallJ U02149
propertyLine U0214A
upDownArrowWithBase U021A8
rightwardsArrowWithCornerDownards U021B4
downwardsArrowWithCornerLeftward U021B5
northWestArrowToLongBar U021B8
leftwardsArrowToBarOverRightwardsArrrowToBar U021B9
anticlockwiseOpenCircleArrow U021BA
clockwiseOpenCircleArrow U021BB
upwardsArrowWithDoubleStroke U021DE
downwardsArrowWithDoubleStroke U021DF
leftwardsDashedArrow U021E0
upwardsDashedArrow U021E1
rightwardsDashedArrow U021E2
downwardsDashedArrow U021E3
leftwardsWhiteArrow U021E6
upwardsWhiteArrow U021E7
rightwardsWhiteArrow U021E8
downwardsWhiteArrow U021E9
upwardsWhiteArrowFromBar U021EA
forAll U02200
complementSign U02201
atLeastOneExists U02203
negatedExists U02204
circelSlash U02205
laplacian U02206
endOfProof U0220E
radical U0221A
infinity U0221E
rightAngle U0221F
angle U02220
angleMeasured U02221
angleSpherical U02222
therefore U02234
because U02235
sineWave U0223F
top U022A4
bottom U022A5
hermitianConjugateMatrix U022B9
rightAngleMeasured U022BE
rightTriangle U022BF
threeDots U022EF
diameterSign U02300
house U02302
reverseNot U02310
squareLozenge U02311
profileOfALine U02312
profileOfASurface U02313
viewdataSquare U02317
turnedNotSign U02319
topHalfIntegral U02320
bottomHalfIntegral U02321
sixCarbonRing U0232C
conicalTaper U02332
topAndBottom U02336
aplFunctionalSymbolBackslashBar U02340
boxedUpCaret U02353
boxedQuestionMark U02370
rightAngleWithDownwardsZigzagArrow U0237C
horizontalBenzeRing U02394
leftPaenthesisUpperHook U0239B
leftParenthesisExtension U0239C
leftParenthesisLowerHook U0239D
rightParenthesisUpperHook U0239E
rightParenthesisExtension U0239F
rightParenthesisLowerHook U023A0
leftSquareBracketUpperCorner U023A1
leftSquareBracketExtension U023A2
leftSquareBracketLowerCorner U023A3
rightSquareBracketUpperCorner U023A4
rightSquareBracketExtension U023A5
rightSquareBracketLowerCorner U023A6
leftCurlyBracketUpperHook U023A7
leftCurlyBracketMiddlePiece U023A8
leftCurlyBracketLowerHook U023A9
curlyBracketExtension U023AA
rightCurlyBracketUpperHook U023AB
rightCurlyBracketMiddlePiece U023AC
rightCurlyBracketLowerHook U023AD
integralExtension U023AE
horizontalLineExtension U023AF
summationTop U023B2
summationBottom U023B3
bottomSquareBracketOverTopSquareBracket U023B6
radicalSymbolBottom U023B7
leftVerticalBoxLine U023B8
rightVerticalBoxLine U023B9
returnSymbol U023CE
topTortoiseShellBracket U023E0
bottomTortoiseShellBracket U023E1
whiteTrapezium U023E2
benseRingWithCircle U023E3
straightness U023E4
flatness U023E5
acCurrent U023E6
electricalIntersection U023E7
blankSymbol U02422
openBox U02423
doublyBrokenVert U02506
upperHalfBlock U02580
lowerHalfBlock U02584
fullBlock U02588
leftHalfBlock U0258C
rightHalfBlock U02590
25ShadedBlock U02591
50ShadedBlock U02592
75ShadedBlock U02593
squaredFilled U025A0
squareOpen U025A1
whiteSquareWithRoundedCorners U025A2
whiteSquareContainingBlackSmallSquare U025A3
horizontalRuleFilled U025A4
verticalRuleFilled U025A5
squareWithOrthogonalCrosshatchFill U025A6
nwToSeRuleFilled U025A7
neToSwRuleFilled U025A8
squareWithDiagonalCrosshatchFill U025A9
sqBullet U025AA
whiteSmallSquare U025AB
blackRectangle U025AC
horizontalRectangleOpen U025AD
